ProgCode,RouteCode,ProgShort,Prog
TMSARTSINT03,TMSARTSBAH01,AIBH,MSc Artificial Intelligence for Biomedicine and Healthcare
TMSARTSSUD01,TMSARTSSUD01,AISD,MSc Artificial Intelligence for Sustainable Development
TMSCOMSSAD18,TMSCOMSSAD18,AIDE,MSc Artificial Intelligence and Data Engineering
TMSCOMSINF01,TMSCOMSINF01,ISEC,MSc Information Security
TMSCOMSCFI01,TMSCOMSCFI01,CF,MSc Computational Finance
TMSCOMSFRM01,TMSCOMSFRM01,FRM,MSc Financial Risk Management
TMSFINSTEC01,TMSFINSTEC01,FT,MSc Financial Technology
TMSCOMSEDT01,TMSCOMSEDT01,EDT,MSc Emerging Digital Technologies
TMSCOMSMCL01,TMSCOMSMCL01,ML,MSc Machine Learning
TMSDATSMLE01,TMSDATSMLE01,DSML,MSc Data Science and Machine Learning
TMSCOMSSML01,TMSCOMSSML01,CSML,MSc Computational Statistics and Machine Learning
TMSROBAARI01,TMSROBAARI01,RAI,MSc Robotics and Artificial Intelligence
TMSCOMSEIT01,TMSCOMSEIT01,SEIOT,MSc Systems Engineering for the Internet of Things
TMSCOMSDDI19,TMSCOMSDDI19,DDI,"MSc Disability, Design and Innovation"
TMSCOMSING01,TMSCOMSING01,CS,MSc Computer Science
TMSCOMSSSE01,TMSCOMSSSE01,SSE,MSc Software Systems Engineering
TMSCOMSCGV01,TMSCOMSSML01,CGVI,"MSc Computer Graphics, Vision and Imaging"
